DateKey,Date,Day,WeekNr,Month,Monthshort,MonthNo,Quater,Year
20200101,2020-01-01,4,1,January,Jan,1,1,2020
20200102,2020-01-02,5,1,January,Jan,1,1,2020
20200103,2020-01-03,6,1,January,Jan,1,1,2020
20200104,2020-01-04,7,1,January,Jan,1,1,2020
20200105,2020-01-05,1,2,January,Jan,1,1,2020
20200106,2020-01-06,2,2,January,Jan,1,1,2020
20200107,2020-01-07,3,2,January,Jan,1,1,2020
20200108,2020-01-08,4,2,January,Jan,1,1,2020
20200109,2020-01-09,5,2,January,Jan,1,1,2020
20200110,2020-01-10,6,2,January,Jan,1,1,2020
20200111,2020-01-11,7,2,January,Jan,1,1,2020
20200112,2020-01-12,1,3,January,Jan,1,1,2020
20200113,2020-01-13,2,3,January,Jan,1,1,2020
20200114,2020-01-14,3,3,January,Jan,1,1,2020
20200115,2020-01-15,4,3,January,Jan,1,1,2020
20200116,2020-01-16,5,3,January,Jan,1,1,2020
20200117,2020-01-17,6,3,January,Jan,1,1,2020
20200118,2020-01-18,7,3,January,Jan,1,1,2020
20200119,2020-01-19,1,4,January,Jan,1,1,2020
20200120,2020-01-20,2,4,January,Jan,1,1,2020
20200121,2020-01-21,3,4,January,Jan,1,1,2020
20200122,2020-01-22,4,4,January,Jan,1,1,2020
20200123,2020-01-23,5,4,January,Jan,1,1,2020
20200124,2020-01-24,6,4,January,Jan,1,1,2020
20200125,2020-01-25,7,4,January,Jan,1,1,2020
20200126,2020-01-26,1,5,January,Jan,1,1,2020
20200127,2020-01-27,2,5,January,Jan,1,1,2020
20200128,2020-01-28,3,5,January,Jan,1,1,2020
20200129,2020-01-29,4,5,January,Jan,1,1,2020
20200130,2020-01-30,5,5,January,Jan,1,1,2020
20200131,2020-01-31,6,5,January,Jan,1,1,2020
20200201,2020-02-01,7,5,February,Feb,2,1,2020
20200202,2020-02-02,1,6,February,Feb,2,1,2020
20200203,2020-02-03,2,6,February,Feb,2,1,2020
20200204,2020-02-04,3,6,February,Feb,2,1,2020
20200205,2020-02-05,4,6,February,Feb,2,1,2020
20200206,2020-02-06,5,6,February,Feb,2,1,2020
20200207,2020-02-07,6,6,February,Feb,2,1,2020
20200208,2020-02-08,7,6,February,Feb,2,1,2020
20200209,2020-02-09,1,7,February,Feb,2,1,2020
20200210,2020-02-10,2,7,February,Feb,2,1,2020
20200211,2020-02-11,3,7,February,Feb,2,1,2020
20200212,2020-02-12,4,7,February,Feb,2,1,2020
20200213,2020-02-13,5,7,February,Feb,2,1,2020
20200214,2020-02-14,6,7,February,Feb,2,1,2020
20200215,2020-02-15,7,7,February,Feb,2,1,2020
20200216,2020-02-16,1,8,February,Feb,2,1,2020
20200217,2020-02-17,2,8,February,Feb,2,1,2020
20200218,2020-02-18,3,8,February,Feb,2,1,2020
20200219,2020-02-19,4,8,February,Feb,2,1,2020
20200220,2020-02-20,5,8,February,Feb,2,1,2020
20200221,2020-02-21,6,8,February,Feb,2,1,2020
20200222,2020-02-22,7,8,February,Feb,2,1,2020
20200223,2020-02-23,1,9,February,Feb,2,1,2020
20200224,2020-02-24,2,9,February,Feb,2,1,2020
20200225,2020-02-25,3,9,February,Feb,2,1,2020
20200226,2020-02-26,4,9,February,Feb,2,1,2020
20200227,2020-02-27,5,9,February,Feb,2,1,2020
20200228,2020-02-28,6,9,February,Feb,2,1,2020
20200229,2020-02-29,7,9,February,Feb,2,1,2020
20200301,2020-03-01,1,10,March,Mar,3,1,2020
20200302,2020-03-02,2,10,March,Mar,3,1,2020
20200303,2020-03-03,3,10,March,Mar,3,1,2020
20200304,2020-03-04,4,10,March,Mar,3,1,2020
20200305,2020-03-05,5,10,March,Mar,3,1,2020
20200306,2020-03-06,6,10,March,Mar,3,1,2020
20200307,2020-03-07,7,10,March,Mar,3,1,2020
20200308,2020-03-08,1,11,March,Mar,3,1,2020
20200309,2020-03-09,2,11,March,Mar,3,1,2020
20200310,2020-03-10,3,11,March,Mar,3,1,2020
20200311,2020-03-11,4,11,March,Mar,3,1,2020
20200312,2020-03-12,5,11,March,Mar,3,1,2020
20200313,2020-03-13,6,11,March,Mar,3,1,2020
20200314,2020-03-14,7,11,March,Mar,3,1,2020
